,Unnamed: 0,ticker,one_yr_return,expense_ratio,aum,dividend_yield,fundname,esg_rating,quality_score,score_peer_rank,score_global_rank,carbon_intensity,sustainable_impact_exposure,sri_screening_criteria_exposure,analyst_pick,grade,efficiency,tradability,fit,segment,one_mo_p_percent,three_mo_p_percent,ytd_p_percent,one_yr_p_percent,three_yr_p_percent,five_yr_p_percent,ten_yr_p_percent,one_mo,three_mo,ytd,one_yr,three_yr,as_of_date,investment_strategy,asset_class,asset_region,subsegment
13,13,IJH,14.52,0.05,72840000000.0,1.7,iShares Core S&P Mid-Cap ETF,A,5.89,37.19,56.12,153.69,,3.86,True,A,100.0,99.0,79.0,Equity: U.S.  -  Mid Cap,8.03,11.18,12.71,14.52,15.28,8.06,9.84,1197550000.0,680280000.0,1827790000.0,5281410000.0,8873080000.0,2023-07-25,standard,equity,us,mid_cap
14,14,IJR,7.76,0.06,72370000000.0,1.81,iShares Core S&P Small-Cap ETF,BBB,5.37,28.91,23.25,105.74,,3.65,True,A,100.0,99.0,81.0,Equity: U.S.  -  Small Cap,8.44,12.31,10.24,7.76,15.62,5.34,9.38,701730000.0,652460000.0,1371520000.0,3661900000.0,11793560000.0,2023-07-25,standard,equity,us,small_cap
15,15,IWF,22.15,0.18,71550000000.0,0.91,iShares Russell 1000 Growth ETF,A,6.94,68.94,78.21,42.68,,6.51,True,A,97.0,100.0,88.0,Equity: U.S.  -  Large Cap Growth,4.68,17.96,32.05,22.15,13.04,14.14,15.21,-1381110000.0,-667770000.0,-5056330000.0,-1977450000.0,-6311480000.0,2023-07-25,standard,equity,us,large_cap
16,16,VIG,14.37,0.06,70650000000.0,1.96,Vanguard Dividend Appreciation ETF,A,6.92,67.84,74.29,134.33,,4.54,True,A,98.0,100.0,72.0,Equity: U.S.  -  Total Market,5.5,8.23,11.03,14.37,12.83,11.59,11.3,-420580000.0,-69850000.0,-1032790000.0,804870000.0,9372220000.0,2023-07-25,standard,equity,us,total_market
17,17,VXUS,14.1,0.07,59180000000.0,2.97,Vanguard Total International Stock ETF,A,6.93,68.39,10.16,187.61,,8.04,True,A,96.0,82.0,97.0,Equity: Global Ex-U.S.  -  Total Market,4.87,5.45,13.11,14.1,7.02,3.76,4.75,955010000.0,2023500000.0,3628740000.0,6783980000.0,34471260000.0,2023-07-25,standard,equity,global,total_market
18,18,GLD,13.84,0.4,57900000000.0,,SPDR Gold Trust,,,,,,,,True,A,91.0,100.0,100.0,Commodities: Precious Metals Gold,2.36,-1.8,7.53,13.84,0.69,9.35,3.55,-469980000.0,-430680000.0,282040000.0,-4365760000.0,-16197980000.0,2023-07-25,standard,commodities,global,not_specified
19,19,VO,11.97,0.04,56340000000.0,1.64,Vanguard Mid-Cap Index Fund,A,6.44,49.86,87.82,212.03,,4.84,True,A,99.0,99.0,92.0,Equity: U.S.  -  Mid Cap,7.48,10.89,12.72,11.97,11.62,8.68,10.23,223180000.0,541320000.0,717090000.0,2278720000.0,12082830000.0,2023-07-25,standard,equity,us,mid_cap
20,20,IWM,9.79,0.19,56290000000.0,1.45,iShares Russell 2000 ETF,BBB,5.2,26.7,11.42,143.48,,2.48,True,A,98.0,99.0,89.0,Equity: U.S.  -  Small Cap,7.95,12.94,12.51,9.79,11.47,4.41,7.85,-777850000.0,1772420000.0,-2006330000.0,61840000.0,3894080000.0,2023-07-25,standard,equity,us,small_cap
21,21,VGT,30.38,0.1,53430000000.0,0.8,Vanguard Information Technology ETF,AA,7.32,82.91,83.41,21.22,,0.23,True,A,97.0,99.0,,Equity: U.S. Information Technology,5.93,23.29,42.5,30.38,18.24,19.76,20.68,-194340000.0,-524630000.0,-1606230000.0,-1770270000.0,1289080000.0,2023-07-25,standard,equity,us,not_specified
22,22,IWD,11.02,0.18,52220000000.0,2.32,iShares Russell 1000 Value ETF,A,6.2,43.9,8.55,211.1,,12.25,True,A,97.0,100.0,86.0,Equity: U.S.  -  Large Cap Value,6.25,7.54,8.54,11.02,13.79,7.96,8.78,-4984350000.0,-1028360000.0,-5824560000.0,-4319270000.0,2363090000.0,2023-07-25,standard,equity,us,large_cap
23,23,XLK,32.15,0.1,51010000000.0,0.96,Technology Select Sector SPDR Fund,AA,7.57,89.69,92.47,22.44,,0.23,True,A,98.0,100.0,,Equity: U.S. Information Technology,5.82,24.22,44.03,32.15,20.3,20.5,20.59,342660000.0,283860000.0,-2248300000.0,-1001090000.0,-1135370000.0,2023-07-25,standard,equity,us,not_specified
24,24,BNDX,-1.5,0.07,50970000000.0,,Vanguard Total International Bond ETF,A,6.52,52.43,74.76,79.52,,0.83,True,B,83.0,91.0,,"Fixed Income: Global Ex-U.S. - Broad Market, Broad-based Investment Grade",0.12,0.39,3.79,-1.5,-3.51,0.29,2.02,1129090000.0,2110440000.0,5064860000.0,7250840000.0,29366300000.0,2023-07-25,standard,fixed_income,global,broad_based
25,25,EFA,18.24,0.32,50960000000.0,3.01,iShares MSCI EAFE ETF,AA,7.71,92.52,76.26,101.28,,12.04,True,A,94.0,90.0,96.0,Equity: Developed Markets Ex-North America  -  Total Market,4.12,3.37,14.64,18.24,8.42,4.35,4.9,,722350000.0,-381060000.0,-2182100000.0,-3491740000.0,2023-07-25,standard,equity,dev_markets,total_market
26,26,VYM,9.11,0.06,50600000000.0,3.37,Vanguard High Dividend Yield ETF,A,6.7,59.31,39.81,257.77,,9.9,True,A,98.0,100.0,,Equity: U.S.  -  High Dividend Yield,6.2,4.53,3.18,9.11,13.98,8.56,9.81,-47480000.0,-577850000.0,-488410000.0,2212930000.0,14105100000.0,2023-07-25,standard,equity,us,high_dividend_yield
27,27,SCHD,7.68,0.06,49570000000.0,3.96,Schwab U.S. Dividend Equity ETF,AA,7.16,77.52,91.85,68.29,,6.31,True,A,100.0,100.0,,Equity: U.S.  -  High Dividend Yield,6.53,5.36,1.5,7.68,15.71,11.79,11.63,341920000.0,1160530000.0,4970440000.0,12298800000.0,32502420000.0,2023-07-25,standard,equity,us,high_dividend_yield
28,28,VB,11.87,0.05,46910000000.0,1.59,Vanguard Small-Cap ETF,A,5.71,33.76,43.6,136.87,,4.6,True,A,98.0,98.0,94.0,Equity: U.S.  -  Small Cap,8.07,12.18,13.15,11.87,12.74,6.77,9.1,441910000.0,446410000.0,1393960000.0,2162890000.0,9389320000.0,2023-07-25,standard,equity,us,small_cap
29,29,ITOT,16.39,0.03,45980000000.0,1.56,iShares Core S&P Total U.S. Stock Market ETF,A,6.53,52.69,25.47,121.05,,8.57,True,A,100.0,98.0,99.0,Equity: U.S.  -  Total Market,5.6,12.95,19.59,16.39,13.4,10.93,12.03,33160000.0,225010000.0,-383730000.0,-1884310000.0,9052290000.0,2023-07-25,standard,equity,us,total_market
30,30,RSP,11.92,0.2,43250000000.0,2.04,Invesco S&P 500 Equal Weight ETF,A,6.69,59.14,51.08,219.68,,8.0,True,A,95.0,99.0,70.0,Equity: U.S.  -  Large Cap,6.82,8.83,10.51,11.92,15.23,10.06,10.95,3636260000.0,6735040000.0,7314470000.0,9348360000.0,23335830000.0,2023-07-25,standard,equity,us,large_cap
31,31,TLT,-11.29,0.15,43100000000.0,,iShares 20+ Year Treasury Bond ETF,A,5.72,34.34,79.05,,,,True,,,100.0,,"Fixed Income: U.S. - Government, Treasury Investment Grade Long-Term",-1.82,-4.66,3.2,-11.29,-14.13,-1.21,1.8,4367830000.0,8911300000.0,16021560000.0,23463130000.0,33639900000.0,2023-07-25,standard,fixed_income,us,government
32,32,XLV,5.8,0.1,40970000000.0,1.7,Health Care Select Sector SPDR Fund,A,7.01,71.66,76.49,12.87,,,True,A,97.0,100.0,,Equity: U.S. Health Care,2.94,2.12,0.82,5.8,10.63,10.77,12.14,-878030000.0,326370000.0,-1057490000.0,474150000.0,10519390000.0,2023-07-25,standard,equity,us,not_specified
33,33,VCIT,0.26,0.04,40050000000.0,,Vanguard Intermediate-Term Corporate Bond ETF,A,6.58,54.48,56.74,256.48,,9.2,True,A,94.0,100.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Intermediate",0.37,-1.18,3.67,0.26,-3.65,2.0,2.71,25680000.0,463880000.0,-299500000.0,-850000000.0,11033680000.0,2023-07-25,standard,fixed_income,us,corporate
34,34,LQD,-0.81,0.14,36970000000.0,,iShares iBoxx USD Investment Grade Corporate Bond ETF,A,6.6,55.28,61.35,150.35,,10.61,True,A,93.0,100.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade",0.3,-1.11,4.15,-0.81,-5.29,1.72,2.64,513750000.0,1618740000.0,957960000.0,4832550000.0,-11738310000.0,2023-07-25,standard,fixed_income,us,corporate
35,35,XLF,9.57,0.1,36110000000.0,1.94,Financial Select Sector SPDR Fund,A,5.98,38.9,46.44,39.57,,13.23,True,A,97.0,99.0,,Equity: U.S. Financials,8.03,9.09,4.4,9.57,15.61,6.95,9.86,1645850000.0,1482690000.0,3517450000.0,4771590000.0,10014270000.0,2023-07-25,standard,equity,us,not_specified
36,36,VEU,14.21,0.08,35850000000.0,2.97,Vanguard FTSE All-World ex-US ETF,A,7.02,72.33,13.58,184.53,,8.65,True,B,92.0,79.0,95.0,Equity: Global Ex-U.S.  -  Total Market,4.78,5.35,13.0,14.21,6.95,3.9,4.76,19830000.0,-27310000.0,-264370000.0,944540000.0,8893270000.0,2023-07-25,standard,equity,global,total_market
37,37,VCSH,1.12,0.04,35640000000.0,,Vanguard Short-Term Corporate Bond ETF,A,6.68,58.27,93.14,175.35,,8.12,True,A,96.0,100.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",0.35,-0.36,2.13,1.12,-0.95,1.75,1.77,661580000.0,-984250000.0,-5284320000.0,-4953390000.0,9805660000.0,2023-07-25,standard,fixed_income,us,corporate
38,38,XLE,21.54,0.1,35470000000.0,4.27,Energy Select Sector SPDR Fund,A,6.26,45.32,23.94,378.94,,,True,A,98.0,99.0,,Equity: U.S. Energy,11.31,2.63,0.35,21.54,38.04,7.84,4.29,-164220000.0,-3382570000.0,-4208390000.0,-3945530000.0,3079010000.0,2023-07-25,standard,equity,us,not_specified
39,39,IVW,13.22,0.18,35290000000.0,1.27,iShares S&P 500 Growth ETF,A,6.82,64.15,68.09,71.57,,4.5,True,A,97.0,100.0,80.0,Equity: U.S.  -  Large Cap Growth,4.59,14.11,24.07,13.22,11.13,12.01,13.98,1372430000.0,1482790000.0,866360000.0,1726950000.0,-2149490000.0,2023-07-25,standard,equity,us,large_cap
40,40,SCHX,17.01,0.03,34410000000.0,1.57,Schwab U.S. Large-Cap ETF,A,6.63,56.17,34.97,120.06,,9.18,True,A,100.0,100.0,96.0,Equity: U.S.  -  Large Cap,5.39,13.1,20.33,17.01,13.61,11.59,12.38,182890000.0,109310000.0,-336650000.0,1292050000.0,4199330000.0,2023-07-25,standard,equity,us,large_cap
41,41,VNQ,-4.6,0.12,33930000000.0,3.7,Vanguard Real Estate ETF,A,6.13,42.58,71.91,83.81,,,True,A,94.0,99.0,,Equity: U.S. Real Estate,8.86,7.36,6.8,-4.6,7.16,5.1,6.1,564340000.0,-156890000.0,-1062120000.0,-2119160000.0,3809510000.0,2023-07-25,standard,equity,us,not_specified
42,42,BSV,-0.06,0.04,33810000000.0,,Vanguard Short-Term Bond ETF,A,6.1,41.67,24.76,149.58,,2.38,True,A,96.0,100.0,,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Short-Term",0.02,-1.11,1.43,-0.06,-1.59,1.17,1.07,-2905790000.0,-3230550000.0,-4025660000.0,-4116680000.0,12200300000.0,2023-07-25,standard,fixed_income,us,broad_based
43,43,MUB,2.0,0.07,33110000000.0,,iShares National Muni Bond ETF,,,,,,,,True,A,94.0,100.0,,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",0.36,0.21,2.83,2.0,-0.77,1.88,2.74,363430000.0,1034190000.0,662720000.0,3715920000.0,16761170000.0,2023-07-25,standard,fixed_income,us,government
44,44,IXUS,14.2,0.07,32650000000.0,2.96,iShares Core MSCI Total International Stock ETF,A,6.93,68.33,10.05,184.83,,8.31,True,A,95.0,87.0,98.0,Equity: Global Ex-U.S.  -  Total Market,4.86,5.35,13.14,14.2,6.82,3.64,4.69,,504480000.0,504480000.0,2241690000.0,10908120000.0,2023-07-25,standard,equity,global,total_market
45,45,SCHF,17.07,0.06,32550000000.0,3.0,Schwab International Equity ETF,AA,7.54,88.79,53.88,123.77,,10.73,True,A,99.0,87.0,95.0,Equity: Developed Markets Ex-U.S.  -  Total Market,4.56,4.33,14.54,17.07,8.75,4.57,5.11,395020000.0,277720000.0,608890000.0,2232360000.0,9687970000.0,2023-07-25,standard,equity,dev_markets,total_market
46,46,IWB,16.67,0.15,31690000000.0,1.57,iShares Russell 1000 ETF,A,6.59,55.07,31.49,121.11,,9.18,True,A,98.0,100.0,95.0,Equity: U.S.  -  Large Cap,5.39,12.8,19.81,16.67,13.5,11.4,12.21,54660000.0,115930000.0,-860890000.0,69780000.0,-85230000.0,2023-07-25,standard,equity,us,large_cap
47,47,QUAL,20.43,0.15,31400000000.0,1.6,iShares MSCI USA Quality Factor ETF,A,6.91,67.49,75.32,56.1,,2.52,True,A,93.0,100.0,87.0,Equity: U.S.  -  Total Market,5.56,13.75,23.05,20.43,13.53,11.59,12.61,-1174950000.0,83620000.0,8601900000.0,7233750000.0,4930180000.0,2023-07-25,standard,equity,us,total_market
48,48,DIA,13.02,0.16,31060000000.0,2.12,SPDR Dow Jones Industrial Average ETF Trust,A,7.13,76.5,88.81,31.18,,7.95,True,A,97.0,99.0,68.0,Equity: U.S.  -  Large Cap,5.17,6.21,8.11,13.02,12.3,9.07,10.96,542870000.0,1312570000.0,-378080000.0,636850000.0,1650460000.0,2023-07-25,standard,equity,us,large_cap
49,49,IWR,12.53,0.18,29760000000.0,1.65,iShares Russell Mid-Cap ETF,A,6.37,47.89,83.11,190.53,,5.27,True,A,97.0,99.0,92.0,Equity: U.S.  -  Mid Cap,7.59,10.77,12.8,12.53,12.09,8.33,9.88,-1397380000.0,75990000.0,-604590000.0,-188440000.0,2367850000.0,2023-07-25,standard,equity,us,mid_cap
50,50,USMV,8.09,0.15,29280000000.0,1.94,iShares MSCI USA Min Vol Factor ETF,A,6.92,68.02,76.38,294.16,,8.02,True,A,98.0,100.0,60.0,Equity: U.S.  -  Total Market,4.46,4.13,6.39,8.09,8.25,8.63,10.58,-415810000.0,-894030000.0,-2096910000.0,-160260000.0,-10957780000.0,2023-07-25,standard,equity,us,total_market
51,51,VT,15.57,0.07,29260000000.0,2.12,Vanguard Total World Stock ETF,A,6.7,59.53,22.03,147.37,,8.49,True,A,96.0,95.0,98.0,Equity: Global  -  Total Market,5.32,9.79,16.97,15.57,10.69,7.91,8.63,1550000.0,700690000.0,1146730000.0,3160370000.0,11517960000.0,2023-07-25,standard,equity,global,total_market
52,52,IEF,-5.2,0.15,29130000000.0,,iShares 7-10 Year Treasury Bond ETF,A,5.72,34.34,79.05,,,,True,B,83.0,100.0,,"Fixed Income: U.S. - Government, Treasury Investment Grade Intermediate",-0.86,-3.31,1.61,-5.2,-6.38,0.54,1.19,344280000.0,1539130000.0,6335680000.0,10048680000.0,11206470000.0,2023-07-25,standard,fixed_income,us,government
53,53,VV,17.26,0.04,28890000000.0,1.56,Vanguard Large Cap ETF,A,6.64,56.61,37.28,120.89,,9.47,True,A,99.0,99.0,97.0,Equity: U.S.  -  Large Cap,5.25,13.08,20.63,17.26,13.54,11.68,12.43,-46450000.0,-14300000.0,75840000.0,344200000.0,3449840000.0,2023-07-25,standard,equity,us,large_cap
54,54,JEPI,9.76,0.35,28700000000.0,1.76,JPMorgan Equity Premium Income ETF,A,7.04,72.98,84.11,233.47,,10.9,True,A,88.0,99.0,50.0,Equity: U.S.  -  Large Cap,2.85,4.28,7.16,9.76,11.77,,,1072670000.0,3693960000.0,10592730000.0,17322670000.0,28904060000.0,2023-07-25,standard,equity,us,large_cap
55,55,VTEB,2.26,0.05,28540000000.0,,Vanguard Tax-Exempt Bond ETF,,,,,,,,True,A,95.0,100.0,,"Fixed Income: U.S. - Government, Local Authority/Municipal Investment Grade",0.59,0.58,3.29,2.26,-0.71,1.9,,708650000.0,1891910000.0,3568480000.0,10155950000.0,20942340000.0,2023-07-25,standard,fixed_income,us,government
56,56,IAU,14.0,0.25,28020000000.0,,iShares Gold Trust,,,,,,,,True,A,93.0,99.0,100.0,Commodities: Precious Metals Gold,2.39,-1.77,7.6,14.0,0.82,9.5,3.7,-365150000.0,-476840000.0,-145380000.0,-3045680000.0,-1232550000.0,2023-07-25,standard,commodities,global,not_specified
57,57,BIL,3.85,0.14,27700000000.0,,SPDR Bloomberg 1-3 Month T-Bill ETF,BBB,5.71,33.7,20.37,1.6,,,True,A,94.0,100.0,,"Fixed Income: U.S. - Government, Treasury Investment Grade Ultra-Short Term",0.41,1.19,2.55,3.85,1.27,1.43,0.85,-1008650000.0,-1477080000.0,1148010000.0,8537440000.0,12772350000.0,2023-07-25,standard,fixed_income,us,government
58,58,MBB,-3.21,0.04,27170000000.0,,iShares MBS ETF,,,,,,,,True,A,94.0,100.0,,"Fixed Income: U.S. - Government, Mortgage-backed Investment Grade",-0.46,-1.52,1.86,-3.21,-3.79,-0.0,1.01,-223650000.0,1188270000.0,3713520000.0,6698690000.0,9490200000.0,2023-07-25,standard,fixed_income,us,government
59,59,IVE,19.7,0.18,26260000000.0,2.0,iShares S&P 500 Value ETF,A,6.52,52.67,25.36,182.65,,15.78,True,A,97.0,99.0,80.0,Equity: U.S.  -  Large Cap Value,5.84,10.78,15.47,19.7,16.24,10.35,10.07,94070000.0,-201200000.0,-1772810000.0,-1288290000.0,2848110000.0,2023-07-25,standard,equity,us,large_cap
60,60,SHY,0.15,0.15,26100000000.0,,iShares 1-3 Year Treasury Bond ETF,A,5.72,34.34,87.04,,,,True,A,93.0,100.0,,"Fixed Income: U.S. - Government, Treasury Investment Grade Short-Term",0.02,-0.88,1.17,0.15,-1.15,0.87,0.64,-753190000.0,-1395460000.0,-1357310000.0,-124180000.0,5418060000.0,2023-07-25,standard,fixed_income,us,government
61,61,VBR,11.42,0.07,26030000000.0,2.37,Vanguard Small-Cap Value ETF,A,5.78,35.38,48.93,181.68,,6.02,True,A,97.0,98.0,91.0,Equity: U.S.  -  Small Cap Value,8.94,12.6,9.88,11.42,18.63,6.66,9.01,184550000.0,70410000.0,186280000.0,1103010000.0,5366670000.0,2023-07-25,standard,equity,us,small_cap
62,62,DGRO,10.57,0.08,24630000000.0,2.6,iShares Core Dividend Growth ETF,A,6.89,66.95,70.22,220.47,,7.37,True,A,100.0,99.0,69.0,Equity: U.S.  -  Total Market,5.82,6.24,7.74,10.57,13.47,10.9,,-23140000.0,-10350000.0,-1344340000.0,-154210000.0,8642050000.0,2023-07-25,standard,equity,us,total_market
63,63,GOVT,-3.23,0.05,24490000000.0,,iShares U.S. Treasury Bond ETF,A,5.72,34.34,79.05,,,,True,,,99.0,,"Fixed Income: U.S. - Government, Treasury Investment Grade",-0.52,-2.43,1.65,-3.23,-5.17,0.42,0.86,-2542330000.0,-894420000.0,2288280000.0,4237700000.0,13984040000.0,2023-07-25,standard,fixed_income,us,government
64,64,EEM,6.58,0.68,24270000000.0,2.74,iShares MSCI Emerging Markets ETF,BBB,5.54,31.05,28.02,321.57,,3.34,True,C,67.0,85.0,95.0,Equity: Emerging Markets  -  Total Market,5.21,8.76,9.59,6.58,0.51,0.44,2.44,,-1224010000.0,-295100000.0,-2105720000.0,3043320000.0,2023-07-25,standard,equity,emerg_markets,total_market
65,65,SCHB,16.61,0.03,23640000000.0,1.56,Schwab U.S. Broad Market ETF,A,6.53,52.91,26.15,121.14,,8.83,True,A,100.0,99.0,99.0,Equity: U.S.  -  Total Market,5.59,13.02,19.71,16.61,13.46,11.01,11.99,21460000.0,38180000.0,-182350000.0,260760000.0,2345990000.0,2023-07-25,standard,equity,us,total_market
66,66,JPST,3.75,0.18,23600000000.0,,JPMorgan Ultra-Short Income ETF,AA,7.32,83.0,94.17,107.88,,3.84,True,A,91.0,100.0,,"Fixed Income: U.S. - Broad Market, Broad-based Investment Grade Ultra-Short Term",0.44,0.78,2.22,3.75,1.3,2.0,,-375310000.0,-976220000.0,-258880000.0,3172210000.0,10458970000.0,2023-07-25,standard,fixed_income,us,broad_based
67,67,IGSB,1.44,0.04,23180000000.0,,iShares 1-5 Year Investment Grade Corporate Bond ETF,A,6.69,58.88,93.5,203.14,,7.9,True,A,93.0,100.0,,"Fixed Income: U.S. - Corporate, Broad-based Investment Grade Short-Term",0.38,-0.36,2.26,1.44,-0.85,1.83,1.46,-89470000.0,-905080000.0,-104890000.0,2012660000.0,6428650000.0,2023-07-25,standard,fixed_income,us,corporate
68,68,SDY,6.24,0.35,22590000000.0,3.14,SPDR S&P Dividend ETF,A,6.65,57.24,33.54,245.44,,4.92,True,A,92.0,99.0,,Equity: U.S.  -  High Dividend Yield,6.31,3.45,2.62,6.24,13.65,8.91,10.13,-228210000.0,-627540000.0,-1209880000.0,395530000.0,1887710000.0,2023-07-25,standard,equity,us,high_dividend_yield
69,69,VGSH,0.27,0.04,22450000000.0,,Vanguard Short-Term Treasury Index Fund,A,5.72,34.34,87.04,,,,True,A,96.0,100.0,,"Fixed Income: U.S. - Government, Treasury Investment Grade Short-Term",0.02,-0.88,1.23,0.27,-1.08,0.96,0.71,233500000.0,1885160000.0,4170390000.0,8000810000.0,14602420000.0,2023-07-25,standard,fixed_income,us,government
70,70,IUSB,-1.52,0.06,22160000000.0,,iShares Core Total USD Bond Market ETF,A,5.95,38.4,53.82,297.16,,2.76,True,A,96.0,99.0,,"Fixed Income: U.S. - Broad Market, Broad-based",-0.14,-1.34,2.55,-1.52,-3.95,0.92,,-454120000.0,352220000.0,2773630000.0,5328710000.0,19900560000.0,2023-07-25,standard,fixed_income,us,broad_based
71,71,TIP,-3.24,0.19,22040000000.0,,iShares TIPS Bond ETF,A,5.72,34.34,64.21,,,,True,A,91.0,100.0,,"Fixed Income: U.S. - Government, Inflation-linked Investment Grade",0.08,-1.76,2.39,-3.24,-0.75,2.52,1.93,441460000.0,-31900000.0,-1248880000.0,-6986100000.0,5432770000.0,2023-07-25,standard,fixed_income,us,government
